event_id,event_type,event_timestamp,flight_number,airline_code,origin_airport,destination_airport,scheduled_departure,actual_departure,delay_minutes,altitude_m,velocity_ms,latitude,longitude,on_ground,origin_country,schema_version,dq_flag,ingested_at,pipeline_layer,delay_category,is_long_haul,processed_at
001dab7b-3c15-44e0-b8e6-09bac74cb7f3,FLIGHT_DELAYED,2026-03-01 18:38:47.468218,SV5715,SV,KWI,SIN,2026-03-01 18:00:00,,0,3682.0,55.6,46.6058,44.4645,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0035203a-9a99-4617-8898-906015f8f955,FLIGHT_DELAYED,2026-03-01 18:20:19.157191,RJ9444,RJ,CDG,CAI,2026-03-01 18:00:00,,0,7946.0,26.8,16.7213,42.9093,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
005451bb-2315-4a07-afde-fd76cb2e70f8,FLIGHT_DELAYED,2026-03-01 17:48:05.935508,LH4267,LH,BOM,SIN,2026-03-01 17:00:00,,0,2110.0,164.5,13.7008,56.1058,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
01047716-fcf5-42fd-be63-bf7d8e070ce4,FLIGHT_DELAYED,2026-03-01 18:30:28.871801,FZ4301,FZ,JFK,AMM,2026-03-01 18:00:00,,0,12244.0,103.8,13.7302,32.935,True,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
03e78ec1-c044-44a2-a1a1-909a3af4baf2,FLIGHT_DELAYED,2026-03-01 18:19:12.081149,LH8281,LH,BAH,IST,2026-03-01 18:00:00,,0,5962.0,279.8,22.0238,39.2936,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,True,2026-03-01 21:23:59.090901
05a51e3f-4856-4f52-ad8f-28bba9ed96a5,FLIGHT_DELAYED,2026-03-01 18:34:19.134570,TK3715,TK,DXB,IST,2026-03-01 18:00:00,,0,146.0,32.7,28.8947,34.9039,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0613e005-43c5-4ab6-a433-cce4b2c0dd65,FLIGHT_DELAYED,2026-03-01 18:04:20.987787,QR8803,QR,CDG,KWI,2026-03-01 18:00:00,,0,4330.0,94.1,33.341,56.6883,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
06605358-bfb8-40fb-b430-e3af140f3559,FLIGHT_DELAYED,2026-03-01 17:58:53.626278,MS9241,MS,LHR,DXB,2026-03-01 17:00:00,,0,7244.0,64.7,49.0929,50.7603,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
06bf1cd1-9ad1-4ab4-8efd-abc720e30a3e,FLIGHT_DELAYED,2026-03-01 18:48:13.015785,RJ9444,RJ,LHR,CAI,2026-03-01 18:00:00,,0,7946.0,26.8,16.7213,42.9093,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
070fdd99-45f0-44b8-b6ad-1cfef5d7f603,FLIGHT_DELAYED,2026-03-01 17:58:54.627266,SV1522,SV,IST,FRA,2026-03-01 17:00:00,,0,4424.0,143.0,12.9655,38.3817,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0710c2a2-786e-45bf-81d3-670c4cd62f6a,FLIGHT_DELAYED,2026-03-01 18:15:25.783687,RJ2444,RJ,NBO,FRA,2026-03-01 18:00:00,,0,113.0,252.2,29.8002,39.1532,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,True,2026-03-01 21:23:59.090901
079730e5-90f9-4cbc-8f85-5a0b4de5c93d,FLIGHT_DELAYED,2026-03-01 18:53:29.330766,QR3518,QR,,BAH,2026-03-01 18:00:00,,0,4267.0,216.0,12.0936,56.0929,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,True,2026-03-01 21:23:59.090901
0830a168-dfad-40ff-95d4-962146548a16,FLIGHT_DELAYED,2026-03-01 21:20:19.710443,BA1826,BA,DXB,NBO,2026-03-01 21:00:00,,0,3149.0,43.2,42.7352,56.2513,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
09aa445e-004b-4e03-ab10-449d281f4886,FLIGHT_DELAYED,2026-03-01 18:50:59.179217,BA3019,BA,CDG,FRA,2026-03-01 18:00:00,,0,3014.0,262.0,44.9508,50.0757,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,True,2026-03-01 21:23:59.090901
0b50c1d4-7a9c-4643-aa4d-3846fb3dd1d5,FLIGHT_DELAYED,2026-03-01 18:40:39.579421,LH1189,LH,BAH,KWI,2026-03-01 18:00:00,,0,6975.0,195.5,16.7772,48.5814,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0b67475f-77bb-4e68-955e-16b1be643435,FLIGHT_DELAYED,2026-03-01 17:53:46.277079,EK8650,EK,BOM,DXB,2026-03-01 17:00:00,,0,5466.0,18.5,17.771,35.2651,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0c2ba229-a322-47cb-83a1-5e432d1841ed,FLIGHT_DELAYED,2026-03-01 18:38:19.434612,BA5338,BA,KWI,BOM,2026-03-01 18:00:00,,0,8402.0,175.6,40.5017,51.9431,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0c714e0e-793c-478f-b5a5-469748056f62,FLIGHT_DELAYED,2026-03-01 17:56:38.459429,SV3965,SV,BOM,KWI,2026-03-01 17:00:00,,0,9501.0,29.4,43.6551,38.1903,True,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0d3b2ac0-4d8d-4d31-8f23-36585fbf5174,FLIGHT_DELAYED,2026-03-01 18:35:41.218131,TK6443,TK,JFK,KWI,2026-03-01 18:00:00,,0,10743.0,94.6,24.2059,54.8565,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0d44ba80-7d6e-4670-995b-e12e444f6701,FLIGHT_DELAYED,2026-03-01 18:57:49.581067,TK8790,TK,DXB,SIN,2026-03-01 18:00:00,,0,3178.0,25.5,15.0805,26.3251,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0d9cd589-7dc5-4c96-8a3e-1e0ec6e2e375,FLIGHT_DELAYED,2026-03-01 18:46:09.895771,MS5445,MS,KWI,DEL,2026-03-01 18:00:00,,0,4306.0,21.2,17.0293,28.03,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0e29adf4-39a8-4c36-8084-965f3f2d7edc,FLIGHT_DELAYED,2026-03-01 18:11:54.510799,BA1636,BA,SIN,IST,2026-03-01 18:00:00,,0,781.0,90.6,33.2993,58.9774,True,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0f74b353-9343-474d-8dd4-f9061d5c1a1e,FLIGHT_DELAYED,2026-03-01 18:48:08.010091,TK3715,TK,,DEL,2026-03-01 18:00:00,,0,146.0,32.7,28.8947,34.9039,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
0fddb95a-af28-431f-8b59-f888ecf57567,FLIGHT_DELAYED,2026-03-01 17:56:02.419248,LH1189,LH,NBO,AMM,2026-03-01 17:00:00,,0,6975.0,195.5,16.7772,48.5814,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
10dca2a4-c637-46e4-b2af-31eb7527593b,FLIGHT_DELAYED,2026-03-01 18:19:36.105964,FZ8600,FZ,JFK,CAI,2026-03-01 18:00:00,,0,8507.0,101.0,12.0233,26.2948,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
11532c25-b658-48cb-97d6-ab874da68e76,FLIGHT_DELAYED,2026-03-01 18:33:36.091592,EK5145,EK,KWI,JFK,2026-03-01 18:00:00,,0,5213.0,189.9,15.8461,42.0652,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,False,2026-03-01 21:23:59.090901
118324e2-2b14-4104-9661-928e43b5ad59,FLIGHT_DELAYED,2026-03-01 17:46:15.823126,LH7452,LH,AUH,DEL,2026-03-01 17:00:00,,0,5555.0,274.2,16.1716,31.6746,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,True,2026-03-01 21:23:59.090901
14670878-cf9d-45d3-84dc-c1a5a1db70d7,FLIGHT_DELAYED,2026-03-01 18:04:51.017112,FZ158,FZ,NBO,FRA,2026-03-01 18:00:00,,0,6082.0,246.4,29.7275,52.5166,False,UAE,1.0,False,2026-03-01 21:22:42.269189,SILVER,ON_TIME,True,2026-03-01 21:23:59.090901
